asset_id,state,plant,time,vibration,temperature
CASF1427567615,California,P01 - San Francisco,2023-02-01 00:00:00,45.2,142.5
CASF1427567615,California,P01 - San Francisco,2023-02-01 03:00:00,48.7,145.3
CASF1427567615,California,P01 - San Francisco,2023-02-01 06:00:00,52.1,148.1
CASF1427567615,California,P01 - San Francisco,2023-02-01 09:00:00,55.8,150.2
CASF1427567615,California,P01 - San Francisco,2023-02-01 12:00:00,58.3,152.7
CASF1427567615,California,P01 - San Francisco,2023-02-01 15:00:00,61.2,155.1
CASF1427567615,California,P01 - San Francisco,2023-02-01 18:00:00,59.8,153.4
CASF1427567615,California,P01 - San Francisco,2023-02-01 21:00:00,57.1,151.2
CASF1759317908,California,P01 - San Francisco,2023-02-01 00:00:00,32.5,138.2
CASF1759317908,California,P01 - San Francisco,2023-02-01 03:00:00,34.1,139.5
CASF1759317908,California,P01 - San Francisco,2023-02-01 06:00:00,35.8,140.8
CASF1759317908,California,P01 - San Francisco,2023-02-01 09:00:00,36.2,141.2
CASF1759317908,California,P01 - San Francisco,2023-02-01 12:00:00,37.5,142.5
CASF1759317908,California,P01 - San Francisco,2023-02-01 15:00:00,38.1,143.1
CASF1759317908,California,P01 - San Francisco,2023-02-01 18:00:00,36.8,141.8
CASF1759317908,California,P01 - San Francisco,2023-02-01 21:00:00,35.2,140.2
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 00:00:00,85.3,165.2
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 03:00:00,92.1,168.5
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 06:00:00,98.7,172.1
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 09:00:00,105.2,175.8
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 12:00:00,112.5,178.9
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 15:00:00,118.3,181.2
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 18:00:00,115.7,179.5
LABR4903786667,Louisiana,P02 - Baton Rouge,2023-02-01 21:00:00,108.9,176.3
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 00:00:00,78.5,158.2
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 03:00:00,82.3,161.5
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 06:00:00,88.1,165.2
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 09:00:00,91.7,168.7
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 12:00:00,95.2,171.3
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 15:00:00,98.8,174.1
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 18:00:00,96.5,172.5
LABR4956922143,Louisiana,P02 - Baton Rouge,2023-02-01 21:00:00,89.2,169.8
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 00:00:00,62.3,148.5
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 03:00:00,65.7,151.2
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 06:00:00,68.9,153.8
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 09:00:00,72.1,156.2
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 12:00:00,75.5,158.7
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 15:00:00,78.2,161.1
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 18:00:00,76.8,159.5
NDBS2148259407,North Dakota,P02 - Bismarck,2023-02-01 21:00:00,71.3,157.2
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 00:00:00,88.7,162.3
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 03:00:00,92.5,165.8
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 06:00:00,96.2,169.1
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 09:00:00,99.8,172.5
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 12:00:00,103.2,175.2
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 15:00:00,106.8,178.1
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 18:00:00,104.5,176.5
NCRL5809796633,North Carolina,P01 - Raleigh,2023-02-01 21:00:00,97.8,173.2

